Date,Close,Open,High,Low,Vol.,Change
09-09-2021,17369.25,17312.85,17379.65,17302.7,241.51,0.09
13-09-2021,17355.3,17363.55,17378.35,17269.15,241.05,-0.08
14-09-2021,17380.0,17420.35,17438.55,17367.05,230.35,0.14
15-09-2021,17519.45,17387.65,17532.7,17386.9,388.19,0.8
16-09-2021,17629.5,17539.2,17644.6,17510.45,503.31,0.63
17-09-2021,17585.15,17709.65,17792.95,17537.65,508.29,-0.25
20-09-2021,17396.9,17443.85,17622.75,17361.8,339.1,-1.07
21-09-2021,17562.0,17450.5,17578.35,17326.1,363.58,0.95
22-09-2021,17546.65,17580.9,17610.45,17524.0,295.19,-0.09
23-09-2021,17822.95,17670.85,17843.9,17646.55,320.51,1.57
24-09-2021,17853.2,17897.45,17947.65,17819.4,360.13,0.17
27-09-2021,17855.1,17932.2,17943.5,17802.9,295.71,0.01
28-09-2021,17748.6,17906.45,17912.85,17576.1,398.0,-0.6
29-09-2021,17711.3,17657.95,17781.75,17608.15,562.24,-0.21
30-09-2021,17618.15,17718.9,17742.15,17585.35,378.59,-0.53
01-10-2021,17532.05,17531.9,17557.15,17452.9,305.76,-0.49
04-10-2021,17691.25,17615.55,17750.9,17581.35,295.76,0.91
05-10-2021,17822.3,17661.35,17833.45,17640.9,427.0,0.74
06-10-2021,17646.0,17861.5,17884.6,17613.15,395.83,-0.99
07-10-2021,17790.35,17810.55,17857.55,17763.8,419.89,0.82
08-10-2021,17895.2,17886.85,17941.85,17840.35,324.07,0.59
11-10-2021,17945.95,17867.55,18041.95,17839.1,375.76,0.28
12-10-2021,17991.95,17915.8,18008.65,17864.95,355.57,0.26
13-10-2021,18161.75,18097.85,18197.8,18050.75,506.68,0.94
14-10-2021,18338.55,18272.85,18350.75,18248.7,538.71,0.97
18-10-2021,18477.05,18500.1,18543.15,18445.3,469.88,0.76
19-10-2021,18418.75,18602.35,18604.45,18377.7,368.23,-0.32
20-10-2021,18266.6,18439.9,18458.3,18209.35,371.28,-0.83
21-10-2021,18178.1,18382.7,18384.2,18048.0,365.9,-0.48
22-10-2021,18114.9,18230.7,18314.25,18034.35,324.75,-0.35
25-10-2021,18125.4,18229.5,18241.4,17968.5,418.7,0.06
26-10-2021,18268.4,18154.5,18310.45,18099.3,341.38,0.79
27-10-2021,18210.95,18295.85,18342.05,18167.9,335.25,-0.31
28-10-2021,17857.25,18187.65,18190.7,17799.45,374.21,-1.94
29-10-2021,17671.65,17833.05,17915.85,17613.1,336.47,-1.04
01-11-2021,17929.65,17783.15,17954.1,17697.1,281.19,1.46
02-11-2021,17888.95,17970.9,18012.25,17847.6,296.44,-0.23
03-11-2021,17829.2,17947.95,17988.75,17757.95,331.0,-0.33
04-11-2021,17916.8,17935.05,17947.55,17900.6,48.52,0.49
08-11-2021,18068.55,18040.2,18087.8,17836.1,338.92,0.85
09-11-2021,18044.25,18084.35,18112.6,17983.05,270.2,-0.13
10-11-2021,18017.2,17973.45,18061.25,17915.0,261.45,-0.15
11-11-2021,17873.6,17967.45,17971.35,17798.2,232.12,-0.8
12-11-2021,18102.75,17977.6,18123.0,17905.9,249.11,1.28
15-11-2021,18109.45,18140.95,18210.15,18071.3,280.43,0.04
16-11-2021,17999.2,18127.05,18132.65,17958.8,267.43,-0.61
17-11-2021,17898.65,17939.35,18022.65,17879.25,295.72,-0.56
18-11-2021,17764.8,17890.55,17945.6,17688.5,278.43,-0.75
22-11-2021,17416.55,17796.25,17805.25,17280.45,356.4,-1.96
23-11-2021,17503.35,17281.75,17553.7,17216.1,308.84,0.5
24-11-2021,17415.05,17550.05,17600.6,17354.0,298.05,-0.5
25-11-2021,17536.25,17417.3,17564.35,17351.7,255.95,0.7
26-11-2021,17026.45,17338.75,17355.4,16985.7,356.33,-2.91
29-11-2021,17053.95,17055.8,17160.7,16782.4,348.89,0.16
30-11-2021,16983.2,17051.15,17324.65,16931.4,498.0,-0.41
01-12-2021,17166.9,17104.4,17213.05,17064.25,295.54,1.08
02-12-2021,17401.65,17183.2,17420.35,17149.3,279.87,1.37
03-12-2021,17196.7,17424.9,17489.8,17180.8,292.53,-1.18
06-12-2021,16912.25,17209.05,17216.75,16891.7,231.72,-1.65
07-12-2021,17176.7,17044.1,17251.65,16987.75,254.14,1.56
08-12-2021,17469.75,17315.25,17484.6,17308.95,257.79,1.71
09-12-2021,17516.85,17524.4,17543.25,17379.6,237.17,0.27
10-12-2021,17511.3,17476.05,17534.35,17405.25,204.47,-0.03
13-12-2021,17368.25,17619.1,17639.5,17355.95,256.56,-0.82
14-12-2021,17324.9,17283.2,17376.2,17225.8,270.97,-0.25
15-12-2021,17221.4,17323.65,17351.2,17192.2,214.97,-0.6
16-12-2021,17248.4,17373.0,17379.35,17184.95,219.5,0.16
17-12-2021,16985.2,17276.0,17298.15,16966.45,354.59,-1.53
20-12-2021,16614.2,16824.25,16840.1,16410.2,330.61,-2.18
21-12-2021,16770.85,16773.15,16936.4,16688.25,241.03,0.94
